"ImageFile","Points:0","Points:1","Points:2"
13,369,207.07,11.046
13,346.42,207.97,10.442
13,357.18,208.38,10.84
13,357.9,208.47,11.04
13,364.2,208.21,10.929
13,365.18,208.21,10.619
13,366.92,208.16,10.397
13,346.71,209.11,10.294
13,358.01,209.09,10.625
13,358.99,209.09,11.032
13,360.14,209.29,11.052
13,365,209,10.5
13,366,209,10.5
13,367.97,209.04,10.177
13,361.02,209.97,10.705
13,362.04,209.73,10.837
13,364,210,10.5
13,365,210,10.5
13,368.75,209.93,10.711
13,370.97,209.91,10.829
13,372.04,210.05,10.974
13,373.08,210.5,11.104
13,348.32,211.15,10.679
13,359,211,10.104
13,365.99,211.05,10.211
13,366.95,210.3,10.628
13,367.84,210.29,10.107
13,371.85,210.6,11.031
13,372.93,210.98,11.026
13,348.74,212.13,10.371
13,364.12,211.02,10.497
13,365.01,211.26,10.471
13,375.06,212.1,11.023
13,375.98,212.5,11.115
13,375.06,213.09,10.991
13,375.99,213.1,10.707
13,350.63,214.3,10.429
13,375.35,214.13,11.112
13,376.03,214.04,10.673
13,351.27,215.19,10.652
13,358.96,214.87,10.486
13,378.87,215.15,11.146
13,351.64,216.12,10.319
13,357.92,216.03,10.38
13,376.92,216.06,10.98
13,378.98,216.02,10.736
13,380.01,216.15,11.209
13,352.24,217.1,10.608
13,377.05,216.78,11.214
13,379.98,216.98,11.099
13,381.1,217.13,11.392
13,352.3,217.8,10.259
13,354.51,218.21,10.358
13,354.98,217.53,10.757
13,375.96,218.03,8.937
13,432,218,10.5
13,432.87,218.64,10.734
13,352,218.68,10.486
13,376.89,219.05,8.8023
13,431,219,10.5
13,432,219,10.5
13,433.92,219.04,10.941
13,434.88,218.88,11.269
13,410.18,220.75,10.681
13,415.85,220.76,11.013
13,429,220.34,10.788
13,430,220,10.5
13,431,220,10.5
13,432,220,10.5
13,433,220,10.5
13,433.99,219.96,10.637
13,407.92,221.06,11.309
13,409.2,221.16,10.655
13,416.98,221.24,10.699
13,423.31,221.36,10.563
13,428.01,220.95,10.442
13,430.01,221.05,10.322
13,431,221,10.5
13,432,221,10.5
13,433,221,10.5
13,434,221,10.5
13,435,220.77,11.019
13,408.98,222.11,10.608
13,430.98,222,10.166
13,432,222,10.5
13,433,222,10.5
13,434,222,10.5
13,435,222,10.5
13,351.71,222.81,10.478
13,353.29,223.01,10.759
13,409.13,223.01,9.2931
13,410.03,222.56,10.543
13,410.88,222.72,10.357
13,411.16,223.26,9.548
13,411.75,223.14,10.536
13,433,223,10.5
13,434,223,10.5
13,351.22,223.82,10.49
13,432.1,224.17,10.081
13,432.93,224.01,10.451
13,434,224,10.5
13,432.8,225.12,10.378
13,433.4,224.74,10.887
13,319.35,226.67,10.945
13,321.29,226.44,10.926
13,322.15,226.6,11.035
13,417.12,226.21,9.5718
13,433.44,225.88,11.033
13,317.47,227.64,10.733
13,318.41,227.28,10.833
13,322.05,227.11,10.643
13,323.1,227.22,10.949
13,325.17,227.39,11.058
13,325.69,227.41,11.089
13,417.02,227.01,9.1519
13,433.58,226.83,10.799
13,317.13,228.15,10.615
13,318.08,228.1,10.193
13,319.04,228.05,10.385
13,322.98,228.02,10.611
13,324.86,227.89,10.748
13,325.73,227.97,11.142
13,353.2,228.18,10.109
13,418.92,227.97,9.6873
13,433.76,227.75,10.927
13,317.13,228.94,10.547
13,319.87,229.1,10.433
13,322.82,228.82,10.62
13,323.88,229.05,10.945
13,418.95,228.97,9.3322
13,433.93,228.76,10.944
13,349.41,229.96,10.441
13,418.81,229.82,9.1543
13,419.73,229.97,9.6536
13,319.99,230.69,11.055
13,430.02,231.31,10.25
13,349.67,232.09,10.273
13,418.68,231.95,9.4079
13,350.32,233.11,10.628
13,350.72,234.09,10.334
13,428.02,234.26,10.083
13,433.96,233.88,11.065
13,433.6,234.78,10.865
13,432.76,235.77,10.597
13,433.41,235.66,10.964
13,351.79,237.19,10.492
13,432.93,236.77,10.817
13,352.32,238.17,10.755
13,433,238,10.5
13,434,238,10.5
13,408.29,239.1,10.323
13,433,239,10.5
13,434,239,10.5
13,407.97,240.15,10.613
13,432,240,10.5
13,433,240,10.5
13,434,240,10.5
13,352.74,240.9,10.273
13,354.71,240.86,10.104
13,410,240.5,10.501
13,422.06,240.59,10.587
13,422.28,241.06,9.4125
13,423.98,240.6,10.433
13,424.83,240.68,10.226
13,425.87,241.12,10.584
13,428.87,241.08,10.432
13,432,241,10.5
13,433,241,10.5
13,434,241,10.5
13,434.72,241.14,11.075
13,354.98,241.88,10.268
13,375.79,242.03,9.0737
13,377.93,242.8,10.545
13,426.96,241.4,10.184
